Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order_Year,Order_Month,Order_Quarter,Order_Week,Order_DayOfWeek,Order_DayOfWeek_Name,Ship_Year,Ship_Month,Ship_Quarter,Ship_Week,Ship_DayOfWeek,Shipping_Duration,Is_Weekend_Order,Is_Holiday_Season,Price_Per_Unit,Profit_Margin,Profit_Per_Unit,Has_Discount,Log_Sales,Log_Profit,Log_Quantity,Ship Mode_Encoded,Segment_Encoded,Country_Encoded,City_Encoded,State_Encoded,Region_Encoded,Category_Encoded,Sub-Category_Encoded,Sales_Per_Quantity,Discount_x_Quantity,Discount_x_Sales,Region_Category,Category_Avg_Profit,SubCategory_Avg_Sales,Region_Avg_Discount
2016-11-08,2016-11-11,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0.0,41.9136,2016,11,4,45,1,Tuesday,2016,11,4,45,4,3,0,1,130.98,0.16000000000000003,20.9568,0,5.572001929355964,3.7591887920119325,1.0986122886681098,2,0,0,194,15,2,0,4,130.98,0.0,0.0,South_Furniture,8.699327109853842,503.8596328947368,0.1472530864197531
2016-11-08,2016-11-11,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0.0,219.582,2016,11,4,45,1,Tuesday,2016,11,4,45,4,3,0,1,243.98000000000002,0.3,73.194,0,6.597063843147503,5.396269507842064,1.3862943611198906,2,0,0,194,15,2,0,5,243.98000000000002,0.0,0.0,South_Furniture,8.699327109853842,532.3324197730956,0.1472530864197531
2016-06-12,2016-06-16,Second Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714,2016,6,2,23,6,Sunday,2016,6,2,24,3,4,1,0,7.31,0.47000000000000003,3.4357,0,2.7485521444115397,2.0632359373329026,1.0986122886681098,2,1,0,266,3,3,1,10,7.31,0.0,0.0,West_Office Supplies,20.3270495851311,34.303054945054946,0.10933499843896347
2015-10-11,2015-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031,2015,10,4,41,6,Sunday,2015,10,4,42,6,7,1,0,191.5155,-0.4,-76.6062,1,6.86545041472046,,1.791759469228055,3,0,0,153,8,2,0,16,191.5155,2.25,430.909875,South_Furniture,8.699327109853842,648.7947711598746,0.1472530864197531
2015-10-11,2015-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164,2015,10,4,41,6,Sunday,2015,10,4,42,6,7,1,0,11.184,0.1125,1.2582,1,3.15136756508544,1.2574377389948865,1.0986122886681098,3,0,0,153,8,2,1,14,11.184,0.4,4.4736,South_Office Supplies,20.3270495851311,264.5905531914894,0.1472530864197531
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0.0,14.1694,2014,6,2,24,0,Monday,2014,6,2,24,5,5,0,0,6.9799999999999995,0.29,2.0242,0,3.9092190780954117,2.719280240831381,2.0794415416798357,3,0,0,266,3,3,0,9,6.9799999999999995,0.0,0.0,West_Furniture,8.699327109853842,95.82566771159875,0.10933499843896347
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,7.28,4,0.0,1.9656,2014,6,2,24,0,Monday,2014,6,2,24,5,5,0,0,1.82,0.27,0.4914,0,2.1138429683971682,1.0870793728543855,1.6094379124341003,3,0,0,266,3,3,1,2,1.82,0.0,0.0,West_Office Supplies,20.3270495851311,34.068834170854274,0.10933499843896347
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152,2014,6,2,24,0,Monday,2014,6,2,24,5,5,0,0,151.192,0.09999999999999999,15.1192,1,6.8114117654723865,4.5186881234323115,1.9459101490553132,3,0,0,266,3,3,2,13,151.192,1.2000000000000002,181.43040000000002,West_Technology,78.75200221981592,371.21153430821147,0.10933499843896347
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825,2014,6,2,24,0,Monday,2014,6,2,24,5,5,0,0,6.168,0.31249999999999994,1.9275,1,2.970619572738916,1.9143457655509497,1.3862943611198906,3,0,0,266,3,3,1,3,6.168,0.6000000000000001,3.7008000000000005,West_Office Supplies,20.3270495851311,133.56056007879187,0.10933499843896347
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0.0,34.47,2014,6,2,24,0,Monday,2014,6,2,24,5,5,0,0,22.98,0.3,6.894,0,4.752727750345706,3.5686872687855304,1.791759469228055,3,0,0,266,3,3,1,1,22.98,0.0,0.0,West_Office Supplies,20.3270495851311,230.7557103004292,0.10933499843896347
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092,2014,6,2,24,0,Monday,2014,6,2,24,5,5,0,0,189.576,0.05,9.4788,1,7.442600508432343,4.457936197274231,2.302585092994046,3,0,0,266,3,3,0,16,189.576,1.8,341.2368,West_Furniture,8.699327109853842,648.7947711598746,0.10933499843896347
2014-06-09,2014-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,2014,6,2,24,0,Monday,2014,6,2,24,5,5,0,0,227.856,0.07500000000000001,17.0892,1,6.816104794316803,4.239264195306484,1.6094379124341003,3,0,0,266,3,3,2,13,227.856,0.8,182.28480000000002,West_Technology,78.75200221981592,371.21153430821147,0.10933499843896347
2017-04-15,2017-04-20,Standard Class,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432,2017,4,2,15,5,Saturday,2017,4,2,16,3,5,1,0,5.184,0.35000000000000003,1.8144,1,2.8065069404432417,1.8630253111150528,1.3862943611198906,3,0,0,96,31,2,1,12,5.184,0.6000000000000001,3.1104000000000003,South_Office Supplies,20.3270495851311,57.284091970802926,0.1472530864197531
2016-12-05,2016-12-10,Standard Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922,2016,12,4,49,0,Monday,2016,12,4,49,5,5,0,1,135.992,0.32499999999999996,44.197399999999995,1,6.0136564746144785,4.894791876164645,1.3862943611198906,3,0,0,452,45,3,1,3,135.992,0.6000000000000001,81.5952,West_Office Supplies,20.3270495851311,133.56056007879187,0.10933499843896347
2015-11-22,2015-11-26,Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,2015,11,4,47,6,Sunday,2015,11,4,48,3,4,1,1,13.762,-1.8,-24.7716,1,4.24577726598231,,1.791759469228055,3,2,0,154,41,0,1,1,13.762,4.0,55.048,Central_Office Supplies,20.3270495851311,230.7557103004292,0.24035299182092124
2015-11-22,2015-11-26,Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,2015,11,4,47,6,Sunday,2015,11,4,48,3,4,1,1,0.848,-1.5,-1.272,1,1.2652560327428346,,1.3862943611198906,3,2,0,154,41,0,1,3,0.848,2.4000000000000004,2.0352,Central_Office Supplies,20.3270495851311,133.56056007879187,0.24035299182092124
2014-11-11,2014-11-18,Standard Class,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,2014,11,4,46,1,Tuesday,2014,11,4,47,1,7,0,1,110.98,0.02,2.2196000000000002,0,6.502610119684893,2.6614895497210616,1.9459101490553132,3,0,0,272,47,0,1,14,110.98,0.0,0.0,Central_Office Supplies,20.3270495851311,264.5905531914894,0.24035299182092124
2014-05-13,2014-05-15,Second Class,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0.0,9.99,2014,5,2,20,1,Tuesday,2014,5,2,20,3,2,0,0,27.75,0.18,4.995,0,4.034240638152395,2.39698576841553,1.0986122886681098,2,0,0,513,42,3,1,14,27.75,0.0,0.0,West_Office Supplies,20.3270495851311,264.5905531914894,0.10933499843896347
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,8.56,2,0.0,2.4824,2014,8,3,35,2,Wednesday,2014,9,3,36,0,5,0,0,4.28,0.29,1.2412,0,2.25758772706331,1.2477217112559509,1.0986122886681098,2,0,0,438,3,3,1,2,4.28,0.0,0.0,West_Office Supplies,20.3270495851311,34.068834170854274,0.10933499843896347
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011,2014,8,3,35,2,Wednesday,2014,9,3,36,0,5,0,0,71.16,0.075,5.337,1,5.3682164939277035,2.8338601936274457,1.3862943611198906,2,0,0,438,3,3,2,13,71.16,0.6000000000000001,42.696,West_Technology,78.75200221981592,371.21153430821147,0.10933499843896347
2014-08-27,2014-09-01,Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.384,2014,8,3,35,2,Wednesday,2014,9,3,36,0,5,0,0,5.68,0.325,1.846,1,3.1663185741295248,2.1263251275786863,1.6094379124341003,2,0,0,438,3,3,1,3,5.68,0.8,4.544,West_Office Supplies,20.3270495851311,133.56056007879187,0.10933499843896347
2016-12-09,2016-12-13,Standard Class,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2016,12,4,49,4,Friday,2016,12,4,50,1,4,0,1,2.7800000000000002,0.25999999999999995,0.7228,0,3.0184717605234805,1.8016437913020313,2.0794415416798357,3,1,0,158,25,0,1,2,2.7800000000000002,0.0,0.0,Central_Office Supplies,20.3270495851311,34.068834170854274,0.24035299182092124
2016-12-09,2016-12-13,Standard Class,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,2016,12,4,49,4,Friday,2016,12,4,50,1,4,0,1,8.620000000000001,0.25999999999999995,2.2412,0,4.116432158686106,2.8147138672904286,2.0794415416798357,3,1,0,158,25,0,1,1,8.620000000000001,0.0,0.0,Central_Office Supplies,20.3270495851311,230.7557103004292,0.24035299182092124
2017-07-16,2017-07-18,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2017,7,3,28,6,Sunday,2017,7,3,29,1,2,1,0,35.686,-0.014285714285714287,-0.5098,1,4.28181948425685,,1.0986122886681098,2,0,0,374,36,1,0,5,35.686,0.6,21.4116,East_Furniture,8.699327109853842,532.3324197730956,0.14536516853932585
